label,ann1,ann2,ann3,total
PREEMPTIVE_HELPER_TOOL_BUILD,41,35,30,106
EDIT_TOOL_MECHANICAL_FAILURE,13,28,18,59
PATCH_CHURN,20,22,6,48
REDUNDANT_FILE_REREAD,19,17,3,39
VERIFICATION_GAP,8,12,10,30
CONTEXT_BLOAT,9,20,0,29
FAILED_RECOVERY,8,10,4,22
DEPENDENCY_SETUP_DRIFT,16,2,1,19
FILENAME_SEARCH_THRASH,6,9,4,19
BUDGET_EXHAUSTION_NONCONVERGENCE,6,7,3,16
PREMATURE_SCRATCH_REPRO,3,9,4,16
OVER_BROAD_EDIT,1,14,0,15
ENVIRONMENT_BLOCKED,2,8,4,14
STAGNATION,7,6,1,14
HELPER_TOOL_FAILURE_LOOP,6,2,5,13
SEARCH_WITHOUT_NEW_EVIDENCE,4,7,1,12
REDUNDANT_TEST,2,3,2,7
TEST_AS_EXPLORATION_MISROUTING,2,1,0,3
BLIND_INFILE_NAVIGATION,2,1,0,3
