trace_id,task_id,repo,solver_alias,source_harness,model_hint,role,resolved,n_events,n_actions,search_no_new_evidence_rate,redundant_reread_rate,oversized_then_narrow_read_rate,no_evidence_patch_churn_rate,post_edit_test_gap,fraction_actions_in_no_new_evidence_streaks,tool_error_rate,environment_setup_rate,cnt_search_call_count,cnt_read_call_count,cnt_edit_count,cnt_test_count,cnt_n_actions,cnt_n_steps,cnt_exact_repeated_search_count,cnt_same_file_reedit_count,cnt_no_evidence_reedit_count,cnt_tool_error_count,cnt_environment_setup_event_count,cnt_longest_no_new_evidence_streak,cnt_unique_files_read,cnt_unique_files_modified,cnt_candidate_files_discovered,miss_search_no_new_evidence_rate,miss_redundant_reread_rate,miss_oversized_then_narrow_read_rate,miss_no_evidence_patch_churn_rate,miss_post_edit_test_gap,miss_fraction_actions_in_no_new_evidence_streaks,miss_tool_error_rate,miss_environment_setup_rate,total_tokens_proxy
astropy__astropy-12907@solver_A,astropy__astropy-12907,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,9,8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,1,1,1,8,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,False,False,False,False,False,False,False,False,8
astropy__astropy-13033@solver_A,astropy__astropy-13033,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,23,23,0.8,0.3333,0.0,0.2,,0.0435,0.1304,0.0,5,3,5,2,23,23,0.0,1.0,1.0,3.0,0.0,1.0,2.0,4.0,6.0,False,False,False,False,True,False,False,False,23
astropy__astropy-13236@solver_A,astropy__astropy-13236,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,14,13,0.5,0.0,0.0,0.0,2.0,0.0769,0.0769,0.0,2,2,2,1,13,14,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,8.0,False,False,False,False,False,False,False,False,13
astropy__astropy-13398@solver_A,astropy__astropy-13398,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,19,18,0.75,0.0,0.0,0.25,1.0,0.0,0.2778,0.0,4,3,4,4,18,19,0.0,1.0,1.0,5.0,0.0,0.0,3.0,3.0,3.0,False,False,False,False,False,False,False,False,18
astropy__astropy-13453@solver_A,astropy__astropy-13453,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,20,20,0.6667,0.3333,0.0,0.0,2.0,0.0,0.1,0.0,3,3,4,5,20,20,0.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,14.0,False,False,False,False,False,False,False,False,20
astropy__astropy-13579@solver_A,astropy__astropy-13579,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,13,13,0.0,0.0,0.0,0.25,,0.0,0.2308,0.0,1,1,4,3,13,13,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,10.0,False,False,False,False,True,False,False,False,13
astropy__astropy-13977@solver_A,astropy__astropy-13977,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,33,32,0.75,0.4286,0.0,0.0,2.0,0.125,0.0625,0.0,4,7,3,5,32,33,0.0,0.0,0.0,2.0,0.0,3.0,4.0,3.0,32.0,False,False,False,False,False,False,False,False,32
astropy__astropy-14096@solver_A,astropy__astropy-14096,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,14,14,1.0,0.5,0.0,0.0,1.0,0.0,0.3571,0.0,1,2,3,4,14,14,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,False,False,False,False,False,False,False,False,14
astropy__astropy-14182@solver_A,astropy__astropy-14182,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,20,19,0.3333,0.7143,0.0,0.0,3.0,0.0,0.0526,0.0,3,7,2,1,19,20,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,False,False,False,False,False,False,False,False,19
astropy__astropy-14309@solver_A,astropy__astropy-14309,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,7,7,,0.0,0.0,0.0,,0.0,0.1429,0.0,0,2,1,0,7,7,,0.0,0.0,1.0,0.0,0.0,2.0,1.0,,True,False,False,False,True,False,False,False,7
astropy__astropy-14365@solver_A,astropy__astropy-14365,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,16,16,0.5,0.6667,0.0,0.3333,1.0,0.0,0.125,0.0,2,3,6,2,16,16,0.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,False,False,False,False,False,False,False,False,16
astropy__astropy-14369@solver_A,astropy__astropy-14369,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,39,38,0.5,0.5,0.125,0.375,3.0,0.0789,0.1316,0.0,2,8,8,6,38,39,0.0,6.0,3.0,5.0,0.0,1.0,4.0,2.0,3.0,False,False,False,False,False,False,False,False,38
astropy__astropy-14508@solver_A,astropy__astropy-14508,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,38,37,,0.8,0.0,0.1111,3.0,0.0,0.1351,0.0,0,5,9,5,37,38,,5.0,1.0,5.0,0.0,0.0,1.0,4.0,,True,False,False,False,False,False,False,False,37
astropy__astropy-14539@solver_A,astropy__astropy-14539,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,11,11,0.5,0.0,0.0,0.0,1.0,0.0,0.0909,0.0,2,1,3,1,11,11,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,8.0,False,False,False,False,False,False,False,False,11
astropy__astropy-14598@solver_A,astropy__astropy-14598,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,42,42,0.6667,0.7143,0.1429,0.1429,1.0,0.0238,0.0714,0.0,6,7,7,5,42,42,0.0,1.0,1.0,3.0,0.0,1.0,2.0,6.0,3.0,False,False,False,False,False,False,False,False,42
astropy__astropy-14995@solver_A,astropy__astropy-14995,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,11,10,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,1,2,1,10,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,False,False,False,False,False,False,False,False,10
astropy__astropy-7166@solver_A,astropy__astropy-7166,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1,1,3,1,10,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,12.0,False,False,False,False,False,False,False,False,10
astropy__astropy-7336@solver_A,astropy__astropy-7336,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,7,6,,0.0,0.0,0.0,,0.0,0.0,0.0,0,1,2,0,6,7,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,True,False,False,False,True,False,False,False,6
astropy__astropy-7606@solver_A,astropy__astropy-7606,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,8,8,1.0,0.5,0.0,0.0,,0.0,0.125,0.0,1,2,1,0,8,8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,False,True,False,False,False,8
astropy__astropy-7671@solver_A,astropy__astropy-7671,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,18,18,0.0,0.3333,0.0,0.0,1.0,0.0556,0.1111,0.0,2,3,2,2,18,18,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,False,False,False,False,False,False,False,False,18
astropy__astropy-8707@solver_A,astropy__astropy-8707,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,32,32,0.8,0.4,0.0,0.0,2.0,0.0312,0.0625,0.0,5,5,4,11,32,32,0.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,3.0,False,False,False,False,False,False,False,False,32
astropy__astropy-8872@solver_A,astropy__astropy-8872,astropy,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,33,33,0.6667,0.0,0.0,0.75,4.0,0.0606,0.2121,0.0,3,3,4,10,33,33,0.0,3.0,3.0,7.0,0.0,1.0,3.0,1.0,31.0,False,False,False,False,False,False,False,False,33
django__django-10097@solver_A,django__django-10097,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,76,64,0.6923,0.5,0.0,0.2222,,0.1719,0.2969,0.0156,13,6,9,1,64,76,0.0,2.0,2.0,19.0,1.0,8.0,3.0,7.0,11.0,False,False,False,False,True,False,False,False,64
django__django-10554@solver_A,django__django-10554,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,76,75,0.875,0.7826,0.0,0.1111,,0.0667,0.04,0.0,24,23,9,0,75,76,0.0,3.0,1.0,3.0,0.0,2.0,5.0,6.0,33.0,False,False,False,False,True,False,False,False,75
django__django-10880@solver_A,django__django-10880,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,24,23,0.6667,0.2,0.0,0.2857,,0.087,0.0,0.0,3,5,7,0,23,24,0.0,4.0,2.0,0.0,0.0,2.0,4.0,3.0,1.0,False,False,False,False,True,False,False,False,23
django__django-10914@solver_A,django__django-10914,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,22,21,0.7143,0.2,0.0,0.0,,0.0,0.0,0.0,7,5,3,1,21,22,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,12.0,False,False,False,False,True,False,False,False,21
django__django-10973@solver_A,django__django-10973,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,24,24,0.0,0.0,0.0,0.0,3.0,0.0417,0.0417,0.0,2,2,1,4,24,24,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,False,False,False,False,False,False,False,False,24
django__django-10999@solver_A,django__django-10999,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,9,9,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,1,1,1,9,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,9
django__django-11066@solver_A,django__django-11066,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,8,8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,1,1,1,8,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False,False,False,8
