rq,feature,beta,lo,hi,bh_p,spearman,n
RQ1_cost,search_no_new_evidence_rate,0.2039112434717157,0.17845574256286298,0.22488563814739704,2.7185366544076456e-37,0.227,3114
RQ1_cost,oversized_then_narrow_read_rate,-0.05838995255940038,-0.08014686970152653,-0.03820332591721258,5.7082833871442564e-21,0.163,3334
RQ1_cost,no_evidence_patch_churn_rate,0.07104613187407528,0.04744771723659762,0.09802984460858821,2.2377555167866716e-28,0.208,2796
RQ1_cost,edit_mechanical_failure_rate,0.09825390624846207,0.07511832239049951,0.11856164262584623,1.6617554578369123e-10,0.111,3360
RQ1_cost,post_edit_test_gap,0.09436473950121281,0.0622393223146067,0.13235769701549752,6.210708854371866e-05,0.123,1073
RQ1_cost,fraction_actions_in_no_new_evidence_streaks,0.32125139918748075,0.298542578557069,0.3453168504181389,1.2631758451887737e-123,0.389,3431
RQ1_cost,tool_error_rate,0.09145254032810345,0.07014786125888178,0.11727317831187431,1.462894789031872e-16,0.141,3431
RQ1_cost,environment_setup_rate,0.029015599296559155,0.011305267512609997,0.048985993637549595,0.005239641004066634,0.048,3431
RQ1_cost,redundant_reread_rate,0.3391977309129502,0.31727357562425446,0.3596915435303501,1.1070409570600617e-252,0.542,3334
RQ2_resolution,search_no_new_evidence_rate,-0.35906768857759563,-0.4975742435231836,-0.22692237461410394,0.5008682623184204,-0.021,1338
RQ2_resolution,oversized_then_narrow_read_rate,0.10869073926618233,-0.00915320654400101,0.24003007336144394,0.0005567850830978222,0.099,1358
RQ2_resolution,no_evidence_patch_churn_rate,-0.09973441108415372,-0.2540804250446756,0.06266911784404386,0.006337699138033747,0.079,1251
RQ2_resolution,edit_mechanical_failure_rate,-0.04596943062091333,-0.16982377816089578,0.11057810868102155,2.2909321782511072e-07,-0.143,1418
RQ2_resolution,post_edit_test_gap,-0.03271669285587875,-0.21784954782207094,0.1661058390431935,0.7120854602383192,-0.016,556
RQ2_resolution,fraction_actions_in_no_new_evidence_streaks,-0.3028633070770902,-0.4814628879532543,-0.1661419967512517,5.07306797822786e-15,-0.211,1424
RQ2_resolution,tool_error_rate,-0.08500755287554358,-0.2008520205273999,0.04056101101352005,0.0005567850830978222,-0.096,1424
RQ2_resolution,environment_setup_rate,-0.0425198769297865,-0.26159518605900683,0.09921805083912469,0.000824894301296462,-0.092,1424
RQ2_resolution,redundant_reread_rate,-0.33801779218222533,-0.5081694264747963,-0.18827616608258924,0.003210594101805929,-0.083,1358
RQ3_nonconv,search_no_new_evidence_rate,0.8767572701915884,0.7108958885240041,1.0869135243184436,,,3114
RQ3_nonconv,oversized_then_narrow_read_rate,-0.5988828290263902,-0.8451197691946676,-0.42483421487374307,,,3334
RQ3_nonconv,no_evidence_patch_churn_rate,0.19840065843576699,0.07149005871237499,0.31800946021387916,,,2796
RQ3_nonconv,edit_mechanical_failure_rate,0.4415184136884154,0.3216840764618344,0.5794756740942489,,,3360
RQ3_nonconv,post_edit_test_gap,0.3064501573749819,0.09095558644229422,0.5774303083871006,,,1073
RQ3_nonconv,fraction_actions_in_no_new_evidence_streaks,1.3219786347995512,1.153814961221873,1.551143280132173,,,3431
RQ3_nonconv,tool_error_rate,-0.032227301418002736,-0.2161879426105756,0.12940258490181317,,,3431
RQ3_nonconv,environment_setup_rate,-0.018085777736383143,-0.42913248736587445,0.12119534685028079,,,3431
RQ3_nonconv,redundant_reread_rate,1.5108064086172686,1.227859741177198,1.8710598513841588,,,3334
